YearStart,LocationAbbr,DataValue,Stratification1
2021,AZ,79.5,"Asian, non-Hispanic"
2021,AK,183.4,"American Indian or Alaska Native, non-Hispanic"
2020,WY,180.5,"American Indian or Alaska Native, non-Hispanic"
2021,AK,76.5,"Multiracial, non-Hispanic"
2020,WI,56.8,"Asian, non-Hispanic"
2021,CA,247.3,"Black, non-Hispanic"
2020,WA,130.3,"Hawaiian or Pacific Islander, non-Hispanic"
2020,WA,186.8,"American Indian or Alaska Native, non-Hispanic"
2021,AZ,153.5,"Black, non-Hispanic"
2020,WY,68.0,Hispanic
2021,AK,254.3,"Hawaiian or Pacific Islander, non-Hispanic"
2021,AZ,74.5,Hispanic
2020,WI,180.1,"American Indian or Alaska Native, non-Hispanic"
2020,WA,32.4,"Multiracial, non-Hispanic"
2021,CA,51.3,"Multiracial, non-Hispanic"
2021,AL,273.2,"Black, non-Hispanic"
2021,CA,215.7,"American Indian or Alaska Native, non-Hispanic"
2020,WA,37.1,Hispanic
2021,AZ,64.3,"Multiracial, non-Hispanic"
2021,CA,79.1,Hispanic
2020,WA,204.0,"White, non-Hispanic"
2021,AL,346.7,"White, non-Hispanic"
2021,AZ,297.2,"White, non-Hispanic"
2021,AR,72.5,"Asian, non-Hispanic"
2021,AR,335.5,"White, non-Hispanic"
2020,WA,61.7,"Asian, non-Hispanic"
2021,AR,28.7,Hispanic
2020,WI,246.4,"White, non-Hispanic"
2020,WV,223.1,"Black, non-Hispanic"
2021,CA,284.4,"White, non-Hispanic"
2020,WI,188.1,"Black, non-Hispanic"
2021,CA,112.8,"Asian, non-Hispanic"
2021,AK,79.0,"Asian, non-Hispanic"
2020,WI,39.5,Hispanic
2021,AK,143.6,"Black, non-Hispanic"
2021,DC,76.9,"White, non-Hispanic"
2021,GA,59.5,"Asian, non-Hispanic"
2021,DE,162.1,"Black, non-Hispanic"
2021,GA,35.4,Hispanic
2021,DE,55.3,"Asian, non-Hispanic"
2021,CO,131.7,"American Indian or Alaska Native, non-Hispanic"
2021,DC,348.8,"Black, non-Hispanic"
2021,FL,318.3,"White, non-Hispanic"
2021,FL,84.3,"Asian, non-Hispanic"
2021,FL,93.8,"American Indian or Alaska Native, non-Hispanic"
2021,CT,51.6,Hispanic
2021,HI,162.5,"Multiracial, non-Hispanic"
2021,CO,140.8,"Black, non-Hispanic"
2021,DE,287.8,"White, non-Hispanic"
2021,GA,268.5,"White, non-Hispanic"
2021,CO,56.2,"Asian, non-Hispanic"
2021,FL,116.6,Hispanic
2021,CO,68.3,Hispanic
2021,FL,178.4,"Black, non-Hispanic"
2021,DE,35.6,Hispanic
2021,GA,11.0,"Multiracial, non-Hispanic"
2021,CO,21.5,"Multiracial, non-Hispanic"
2021,HI,223.7,"Asian, non-Hispanic"
2021,GA,185.7,"Black, non-Hispanic"
2021,CT,43.9,"Asian, non-Hispanic"
2021,HI,206.4,"White, non-Hispanic"
2021,DC,48.1,Hispanic
2021,CO,170.2,"White, non-Hispanic"
2021,HI,152.3,"Hawaiian or Pacific Islander, non-Hispanic"
2021,FL,33.8,"Multiracial, non-Hispanic"
2021,HI,75.6,Hispanic
2021,CT,244.8,"White, non-Hispanic"
2021,CT,154.6,"Black, non-Hispanic"
2021,IA,49.8,"Asian, non-Hispanic"
2021,LA,314.2,"White, non-Hispanic"
2021,KS,145.9,"American Indian or Alaska Native, non-Hispanic"
2021,KY,285.8,"White, non-Hispanic"
2021,IN,42.6,Hispanic
2021,ID,211.4,"White, non-Hispanic"
2021,KY,216.6,"Black, non-Hispanic"
2021,KS,60.1,"Asian, non-Hispanic"
2021,IL,66.9,"Asian, non-Hispanic"
2021,IL,22.7,"Multiracial, non-Hispanic"
2021,ME,258.4,"White, non-Hispanic"
2021,KS,55.1,"Multiracial, non-Hispanic"
2021,IA,36.3,Hispanic
2021,ID,109.7,"American Indian or Alaska Native, non-Hispanic"
2021,KY,30.3,Hispanic
2021,IL,255.6,"Black, non-Hispanic"
